#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,noto-fonts,"are fonts for coding."
,noto-fonts-emoji,"is an emoji font."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,emacs,"a tidier vim with some useful features"
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,evince,"is a pdf viewer."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
,alacritty,"is a gpu accelerated terminal"
,rofi,"is a general purpose launcher"
,i3-gaps,"is tiling window manager"
,xterm,"todo remove this later"
,fish,"is trying to be a shell :o"
,slock,"allows you to lock your computer, and quickly unlock with your password."
,libxext-dev,"is needed for the rice"
,libxcb1-dev,"is needed for the rice"
,libxcb-damage0-dev,"is needed for the rice"
,libxcb-xfixes0-dev,"is needed for the rice"
,libxcb-shape0-dev,"is needed for the rice"
,libxcb-render-util0-dev,"is needed for the rice"
,libxcb-render0-dev,"is needed for the rice"
,libxcb-randr0-dev,"is needed for the rice"
,libxcb-composite0-dev,"is needed for the rice"
,libxcb-image0-dev,"is needed for the rice"
,libxcb-present-dev,"is needed for the rice"
,libxcb-xinerama0-dev,"is needed for the rice"
,libpixman-1-dev,"is needed for the rice"
,libdbus-1-dev,"is needed for the rice"
,libconfig-dev,"is needed for the rice"
,libgl1-mesa-dev,"is needed for the rice"
,libpcre2-dev,"is needed for the rice"
,libevdev-dev,"is needed for the rice"
,uthash-dev,"is needed for the rice"
,libev-dev,"is needed for the rice"
,libx11-xcb-dev,"is needed for the rice"
A,picom-ibhagwan-git,"picom fork"
,feh,"is used for desktop backgrounds"
